epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,37244.8,1.2423,2.5397,0.95436,1.07717,0.48313,0.32292,0.34172,0.21077,0.46503,0.29731,0.31267,0.17551,1.46263,2.84188,1.13704,1.13255,6.4641e-05,6.4641e-05,6.4641e-05
88,37666.9,1.24236,2.54261,0.95566,1.08021,0.49521,0.31708,0.34194,0.21212,0.47253,0.2939,0.31441,0.17624,1.46074,2.84053,1.13226,1.1315,6.03345e-05,6.03345e-05,6.03345e-05
89,38089.2,1.24156,2.5429,0.94794,1.07657,0.49274,0.32025,0.34218,0.2121,0.46858,0.29592,0.31404,0.17551,1.46181,2.83639,1.13406,1.13061,5.6028e-05,5.6028e-05,5.6028e-05
90,38512.1,1.24542,2.54486,0.95308,1.07862,0.49235,0.32258,0.34177,0.2113,0.4584,0.29914,0.31282,0.17547,1.4625,2.84317,1.13353,1.13156,5.17215e-05,5.17215e-05,5.17215e-05
91,38798.8,1.33236,2.66946,1.03715,1.11191,0.48057,0.31666,0.33352,0.20507,0.46424,0.29167,0.30343,0.16913,1.48554,2.88161,1.15632,1.14342,4.7415e-05,4.7415e-05,4.7415e-05
92,39070.2,1.30109,2.61571,0.99322,1.09329,0.48982,0.31277,0.33561,0.20755,0.47704,0.28408,0.30777,0.17183,1.47706,2.8624,1.14744,1.1375,4.31085e-05,4.31085e-05,4.31085e-05
93,39340.5,1.29352,2.60395,0.98286,1.08884,0.48102,0.31787,0.33721,0.2091,0.45771,0.29557,0.30953,0.17288,1.47393,2.86294,1.14226,1.13715,3.8802e-05,3.8802e-05,3.8802e-05
94,39611.8,1.28732,2.59694,0.97631,1.08823,0.48702,0.31627,0.33738,0.20944,0.4575,0.2966,0.31039,0.17333,1.47244,2.85671,1.14193,1.13728,3.44955e-05,3.44955e-05,3.44955e-05
95,39884.3,1.28875,2.60303,0.97572,1.08814,0.4911,0.31744,0.33952,0.2103,0.47784,0.29532,0.31327,0.17438,1.47029,2.85602,1.14175,1.13587,3.0189e-05,3.0189e-05,3.0189e-05
96,40156.2,1.28387,2.59095,0.97316,1.08608,0.49409,0.31526,0.33859,0.21032,0.46514,0.29697,0.31222,0.17393,1.47102,2.85532,1.13951,1.13757,2.58825e-05,2.58825e-05,2.58825e-05
97,40426.3,1.28463,2.59434,0.9722,1.08543,0.4903,0.31838,0.33957,0.21101,0.46171,0.29848,0.31356,0.17531,1.46947,2.85158,1.13633,1.13675,2.1576e-05,2.1576e-05,2.1576e-05
98,40700.6,1.28177,2.58222,0.9686,1.08478,0.4852,0.31967,0.34031,0.21127,0.46162,0.29977,0.31389,0.17506,1.47054,2.85204,1.13692,1.13666,1.72695e-05,1.72695e-05,1.72695e-05
99,40970.4,1.28005,2.5801,0.96549,1.08441,0.48151,0.32049,0.33982,0.21077,0.45646,0.29938,0.31328,0.17496,1.47188,2.85321,1.14012,1.13565,1.2963e-05,1.2963e-05,1.2963e-05
100,41242.3,1.27833,2.57836,0.96434,1.0826,0.48901,0.31945,0.34094,0.21113,0.46432,0.29802,0.31356,0.17511,1.46991,2.85129,1.13653,1.13515,8.6565e-06,8.6565e-06,8.6565e-06
